id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
11,103 nm,,10–250μg/ml. Range up to 300μg/ml.,Aluminum/Alumina,NA (Materials are metal/metal oxide nanoparticles),Toxic,103.0,,Classified Data,Aluminum/Alumina,Toxic,Aluminum (Al),inorganic,103 nm,,"At higher doses (100–250μg/ml), exposed cells became abnormal in size, displaying cellular shrinkage, and an acquisition of an irregular shape.",,,,NA (Materials are metal/metal oxide nanoparticles),,NA (Ham’s Nutrient Mixture F-12 media used),37 °C,10–250μg/ml. Range up to 300μg/ml.,,"MTT EC50: >250μg/ml. No measurable effect at lower doses (10–50μg/ml), but significant effect at higher levels (100–250μg/ml).",,,LDH EC50: >250μg/ml. Displayed LDH leakage only at higher doses (100–250μg/ml).,,,,,24 h.,BRL 3A immortalized rat liver cells.,10.1016/j.tiv.2005.06.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,About 50 nm,,NA (Study conducted in vivo on rats).,Aluminum/Alumina,Purchased as nanopowder; functionalizing/capping agent not specified.,Toxic,50.0,,Classified Data,Aluminum/Alumina,Toxic,Aluminum Oxide Nanoparticles (Al₂O₃NPs),inorganic,About 50 nm,,,,,,Purchased as nanopowder; functionalizing/capping agent not specified.,,NA (Aqueous suspension was administered).,Animals were maintained at a temperature of 25 ± 5 °C.,NA (Study conducted in vivo on rats).,70 mg/kg BW (oral administration).,"NA (Study reports DNA fragmentation and apoptotic/necrotic cell death pathways, but not a specific cell viability percentage).",,"NA (Necrotic cell death pathways were induced, but no percentage is provided).","NA (Lipid peroxidation, measured as TBARS, was significantly increased).",Free radicals (TBARS and NO) were significantly increased in plasma and testes compared to the control group. Al₂O₃NPs genotoxicity may be due to an ROS-mediated mechanism.,,,,75 consecutive days.,Wistar male albino rats.,NA (The article is a Research Article 2019; 1(1): 3NANOPARTICLE).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,~50 nm,,70 mg/kg BW,Aluminum/Alumina,Aqueous suspension,Toxic,50.0,,Classified Data,Aluminum/Alumina,Toxic,Aluminum oxide nanoparticles (Al2​O3​NPs),inorganic,~50 nm,Peak distribution between ~30 nm and ~100 nm (Visual peak ~40–50 nm),,,,,Aqueous suspension,,,25 ± 5 °C,,70 mg/kg BW,,,NA (Qualitative histological score: + to ++),,Increased (indicated by TBARS 71 nmole/g liver and NO 0.60 μmole/g liver),,,,75 consecutive days,Male Wistar albino rats,10.1016/j.toxrep.2019.04.003,,mtTFA Expression: 0.71 fold of control; PGC-1α Expression: 0.77 fold of control; Plasma ALT: 104 U/L; Plasma AST: 97 U/L; Plasma Creatinine: 2.33 mg/dl; Liver TAC: 1.97 μmole/g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11.4,"39.2 (DI), 8.9 (Algal)",0.01–100 mg/l,Aluminum/Alumina,,Non-toxic,11.4,39.2,Classified Data,Aluminum/Alumina,Non-toxic,Al₂O₃,inorganic,11.4,"95 (DI), 1232 (Algal)",Crystalline,,"39.2 (DI), 8.9 (Algal)",134,,,"5.9–6.9 (DI), 8.0 (Algal)",20–25,0.01–100 mg/l,,"EC50: 38 mg/l (Algae), >100 mg/l (Protozoa)",0.42% (10mg/l in Algal),,,Low generation,,,,"30 min, 24 h, 72 h","P. subcapitata, T. thermophila, V. fischeri, E. coli, S. aureus",10.1039/C5EN00057B,Luminescence inhibition (EC50: >100 mg/l),MBC: >100 mg/l (E. coli & S. aureus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,30–40 nm,,600–1200 mg/L,Aluminum/Alumina,Metal oxide,Non-toxic,30.0,,Classified Data,Aluminum/Alumina,Non-toxic,Al₂O₃,inorganic,30–40 nm,,,,,,Metal oxide,,,37 °C,600–1200 mg/L,,Mortality: 60.7–84.0%,,,,,,,326.1 mg/L,2 h,E. coli,10.1016/ j.scitotenv. 2009.01.033,,Cation charge: 3+; FW: 101.96; Slope: 0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,21.8 nm (estimated via XRD); 25 nm (observed via TEM),,"0, 50, 100, 200, and 400 mg L⁻¹",Aluminum/Alumina,Citric acid (C6​H8​O7​) utilized as complexing agent during sol-gel synthesis,Toxic,21.8,,Classified Data,Aluminum/Alumina,Toxic,Magnesium (Mg) and zinc (Zn) co-doped aluminum (Al) oxide (Mg0.9​Zn0.1​Al2​O4​) nanoparticles,inorganic,21.8 nm (estimated via XRD); 25 nm (observed via TEM),,Evenly tiny spherical particles (FE-SEM); compact cluster of minute cubic structure (TEM),,,,Citric acid (C6​H8​O7​) utilized as complexing agent during sol-gel synthesis,,7.0 (during synthesis adjustment); root samples rinsed in pH 7.4 PBS,25 °C,,"0, 50, 100, 200, and 400 mg L⁻¹",~51 damaged cells at 400 mg L⁻¹ concentration compared to ~10 in control,Generally insoluble in water,,~51 cells showing membrane penetration at 400 mg L⁻¹ via PI staining,Potential formation of ROS leading to lipid peroxidation and chlorophyll breakdown,,,,3 weeks,Barley (Hordeum vulgare L.),https://doi.org/10.1007/s11356-025-36286-7,Photosynthetic activity at 200 mg L⁻¹: ETR: ~60.4 μmol electrons m⁻² s⁻¹; Fv/Fm: 0.747; Y(II): 0.096,"RAPD-PCR (DNA band changes at 400 mg L⁻¹): Appearance (0), Disappearance (6), Decrease (2), Increase (1). Root Dry Weight (g): Control (0.0022), 400 mg L⁻¹ (0.0095). Total Chlorophyll (μg mL⁻¹): Control (6.42), 400 mg L⁻¹ (8.26). Relative Water Content: Control (95.6%), 400 mg L⁻¹ (97.7%).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,80 nm,,"1000,100,10,1 mg⋅L−1",Aluminum/Alumina,,Non-toxic,80.0,,Classified Data,Aluminum/Alumina,Non-toxic,nAl2O3 (nanoscale alumina),inorganic,80 nm,930 nm; Range: 285–2450 nm,Potato-shaped aggregates,,,,,,,26±1∘C,,"1000,100,10,1 mg⋅L−1",,Not expected to release soluble metal ions,,,,NA (Did not show any toxicity),,,96 hours,Zebrafish (Danio rerio) early developmental stage,10.1080/10934520701792779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20.5,"-24.3 (DI), -15.9 (Algal)",0.01–100 mg/l,Antimony Oxide,,Non-toxic,20.5,-24.3,Classified Data,Antimony Oxide,Non-toxic,Sb₂O₃,inorganic,20.5,"125 (DI), 414 (Algal)",Crystalline,,"-24.3 (DI), -15.9 (Algal)",56,,,"4.2 (DI), 8.0 (Algal)",20–25,0.01–100 mg/l,,EC50: >100 mg/l (Algae & Protozoa),21.2% (10mg/l in Algal),,,Low generation,,,,"30 min, 24 h, 72 h","P. subcapitata, T. thermophila, V. fischeri, E. coli, S. aureus",10.1039/C5EN00057B,Luminescence inhibition (EC50: 94 mg/l),MBC: >100 mg/l (E. coli & S. aureus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,NA (The study was primarily in vivo inhalation),Barium Sulfate,NA (Material is from the Nanomaterial Repository of the European Commission Joint Research Center (JRC) and described as chemically inert),Toxic,,,Classified Data,Barium Sulfate,Toxic,Barium sulfate (BaSO4 NM-220),inorganic,,,,,,,NA (Material is from the Nanomaterial Repository of the European Commission Joint Research Center (JRC) and described as chemically inert),,NA (Lung perfusion was done with PBS),20–24 °C (Animal housing),NA (The study was primarily in vivo inhalation),50.0 mg/m³,,< 1% in different media (referencing Konduru et al.),NA (Signs for apoptosis were minimal),NA (Increased LDH and total protein were detected in BAL analysis),"NA (Demonstrated to bear no intrinsic oxidative potential, but the oxidative stress marker Lpo was highly upregulated in AEII cells)",,,,"One, 28, and 90 days (6 hours/day, 5 days/week)","Female Wistar rats [Crl:WI (Han)] (AEII cells, liver, kidney studied)",https://doi.org/10.1186/s12951-018-0343-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,NA (The study was primarily in vivo inhalation),Barium Sulfate,NA (Material is from the Nanomaterial Repository of the European Commission Joint Research Center (JRC) and described as chemically inert),Toxic,,,Classified Data,Barium Sulfate,Toxic,Barium sulfate (BaSO4 NM-220),inorganic,,,,,,,NA (Material is from the Nanomaterial Repository of the European Commission Joint Research Center (JRC) and described as chemically inert),,NA (Lung perfusion was done with PBS),20–24 °C (Animal housing),NA (The study was primarily in vivo inhalation),50.0 mg/m³,,< 1% in different media (referencing Konduru et al.),NA (Signs for apoptosis were minimal),NA (,"NA (Demonstrated to bear no intrinsic oxidative potential, but the oxidative stress marker Lpo was highly upregulated in AEII cells)",,,,"One, 28, and 90 days (6 hours/day, 5 days/week)","Female Wistar rats [Crl:WI (Han)] (AEII cells, liver, kidney studied)",https://doi.org/10.1186/s12951-018-0343-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1296 nm,,Range studied: 0.1 g/L–0.8 g/L; Optimal dose: 0.5 g/L,Biochar,"High carbon content, diverse surface functional groups; O–H stretching vibration of carboxyl and phenolic hydroxyl groups; Carboxyl (–COOH) groups and aromatic rings (C–C)",Toxic,1296.0,,Classified Data,Biochar,Toxic,Biochar (BC),inorganic,1296 nm,,Hierarchical porous structure (SEM); Graphite sheet stacking structure (TEM),,,48.58 m2/g,"High carbon content, diverse surface functional groups; O–H stretching vibration of carboxyl and phenolic hydroxyl groups; Carboxyl (–COOH) groups and aromatic rings (C–C)","NA (Curve has no reflection in 200–800 nm range, indicating strong light absorption)","NA (In SBR tests, pH increased slightly initially due to alkaline solutions but stabilized)",30 ± 1 ◦C (for photochemical/photocatalysis experiments),Range studied: 0.1 g/L–0.8 g/L; Optimal dose: 0.5 g/L,,NA (Change in viable cell density was measured via MTT assay),,,NA (Damage to cell membrane/wall was observed via SEM and determined to be a mechanism),"Produces ⋅OH, 1O2, and ⋅O2– under light",,,,3 h,Achromobacter sp. LH-1 (strain LH-1); Activated sludge microflora,10.1016/j.cej.2023.141495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,100 nm,-28.54 ± 0.359 mV,"12.5, 25, 50, 100 ppm",Boron,,Toxic,100.0,-28.54,Classified Data,Boron,Toxic,Boron (B),inorganic,100 nm,,,0.237,-28.54 ± 0.359 mV,,,,7.05 (in DI water suspension),20 ± 2 / 16 ± 2°C (Day/Night),,"12.5, 25, 50, 100 ppm",,,,,Induced at 100 ppm,,,,~16 days (from day 14 to day 30),Pea (Pisum sativum L.),10.1007/s42729-021-00692-w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
